caseID,verbatim
183,"he cares about issues like middle class workers, global warming,and most importantly changing the current structure that we havenow, sa far as the gov't is concerned, it would be good to have a new face, somebody who is about cahnge, i believe he doesn't have any corporate interests"
196,health care ideas
201,"him pulling us out of the war and getting our ecomoy back into shape, he seems like he would lead with honestly of the 2 cultures"
212,hE IS A DEMOCRATI AND THE REPUBLICANS HAVE BEEN RUUNING THIS COUNTRY FOR SO LONG.  hE WON'T BOMB rUSSIA AND OUR BOYS CAN COME HOME FOR iRAQ.
214,"i vote for the democratic party, any candidate, black or white or any kind, any democrat"
218,"That he recieves no special money, that also he is one of the first african-americans and how that will affect the african-american community."
222,"democratic,"
224,"i just think thst he will be a good president, make something new, make it better for us"
225,"pro labor, i'm part of teamsters, everyone says he keeps his nose out of labor, i don't think the country could be any worse off than it is now,i liked it much better when clinton was in office, i like my taxes better when republicans are in office, but i like the way the country runs when democrats are in office"
226,I know the taxes /no
228,"change is good, agree some of the thinks he stand for"
229,"he like he is represent the pour people,"
238," when he speaks he makes a lot of good points, he may be just a good speaker, i haven't delved into the issues, i like him , he seems straight forward, makes alot of sense"
243,i THINK HE IS AN EXCELLENT AND MOTIVATION SPEAKER
252,every thing he is campaigning.
258,"health care, his views about setting up for everyone so they can afford it, taxes on oil and the defecit and jobs. Creating more jobs in the energy sectors"
260,I think that he is more down to earth and has come more up from an area and has a grasp of what america needs
263,"we all need a change, his mentality, hes a young person , he is really strong and he knows what he wants, he has a big challenge in front of him, can't be any worse than we are now."
268,"because he is fresh and not into the politics game and is not experienced. he'd be the first black and Martin Luther King would be proud,"
275,he's just the mentality or the mind set that i want to have governing the country
276,he's smart
279,i also believe that having a person of color as president will be an incredible role model  my son is african american and   people should see that not all stereotypes of minorities are accurate
282,"truly inspiring, haventhad a leader that will inspire us like him, its important to be able to speak well, very credible and you believe him"
283,"RECORD ON CONSERVATION ,NO"
285,i admire his record as an organizer and his campaign as baeing a grass roots campaign and the process of opening our democratic process up
286,and it's time to get a democrat back in the white house
287,his judicial nominees
289,the economy  simulation of scientific research which has been scaled back over last 5 years  theperfect storm of the forclosure crisis  and i havae greater faith in his ability to deal with it   taxataion is always an issue especially for me  want undoing taxes on rich people and willing to take a tax increase in exchange for real services obama is talking more about the middle class but i expect that he will support the social safety net food stamps welfare general assistance social security more than mc cain will
290,and what he represents  that he's an african american running for president  i think that's a very positive statement on where we are in our country
296,being that he is a minority
299,"he's a good motivational speaker, he can definently get you motivated"
303,"he is a good example of the all american family, and he is for the people"
306,he's a democrat
309,he seems different
310,his age
311,"I love barrac obama, he is different and he represents change, compared to mccain and palin"
312,I think he is placed here to be a cell.
315,"I like the taxes it's hard right now economically, for the middle class, democratics usually vote for gun control"
317,new blood
321,"it's time for change,it's been that way for years, why not give someone else a chance,"
324,     like he has to say
330,     his stance on health care
335,I think he would be a terrific leader if he lead us in the right direction
336,HE IS HOPEFUL HE CAN BRING A LOT OF POSITIVE CHANGE FOR THE COUNTRY
340,he is not a republican and we need a change of card
343,I actually agree with policies and war in Iraq.
344,he wants change.
356,what he stands for
360,"his intellect, his youth, his vision, his salvation for a better society for all of us and not just for a few of the top, his philosophy and i identify with his struggles as he was growing up because i'm also a minority who has experienced his life experiences"
368,"he wants to help the middle class,"
369,"pretty much every thing he stands for, his political beliefs on how to turn aorund the economy, taxing big business"
373,change
378,he;s a democrat
383,he is going to bring good change to the country
384,"his interactions with the people, he seems more down to earth"
387,i am more on accordance with him.  he will work more for me.
392,he;s for change
397,he;s a democrat
400,"carries himself well, well educated, good plans, cutting taxes, speeches are great, young, african american, help school system for minorities and lots of change"
401,made his party mad by speaking actual truth
414,I like the fact that he's trying to help lower income families/I like his views on immigration status and that stuff
418,"I think he's be more for the middle class, he always mentions the middle class in the debates/we need a change from the Republicans/he'll be more for the Hispanics/"
420,He seems like a smooth speaker but I don't for sure about his values/
421,"coming from where he came from, a black man in today's society has to be twice as good, so he's probably overcome a lot of obstacles/he had the good sense to pick a good wife/"
425,"He's very charismatic, all about change for America, at first it didn't seem like it was about a party, but about the country/a few sandpoints for the liberal side--pro choice/just the general libeal viewpoint"
426,"New blood, he talks the talk, I want to see if he walks the walk, he gives a good speech, if you rely on the TV ads you'd be lost.  I haven't read his proposals/if he keeps his word, tax breaks for the middle class, cracking down on big oil, and trying to do something about health care in this country/"
433,"he said he's help the lower class, lilke around here, the nighborhood, the class that's just barely getting through.  I heard he's going to legalize medical marijuana, that's a thumbs up"
447,"I believe that he is going to hlep the middle class get reestabvlished.  He is not going to continue tax breaks for the oil companies and the very rich/I think he's really going to try to make positive changes/  I don't think that he will esscalate any military actions that are going on right now/I belive he really will try to get everyone in the country insured with health insurance/I actually like his backround, being beracial and culturally diverse, and I like his educational background.  I just believe he is sincere.  I like the fact that he is a family man.  Also that he is taking time out this week from his campaige to go see his grandmother/"
450,How he wants to handle interest rates for student loans and I really like his Medicare and Medicaid plans/
454,"he wil change our current situation, he will heal our national situation, change conflicts in the middle east"
462,he will be the first black president - he will be a good canidate - he will make history being the first black president
465,"The universal health care and as someone who works for an employer the chances of being fired weigh heavily on you, i think healthcare shouldn't be a factor when someone is looking to start their own company, or if their going to be without work for awhile , they should feel secure so they can concentrate on other things."
474,"he's a democrat, he seems to know what we need to run the government, and i can't see another republican running the government."
479,just the fact that he would lower taxes.
481,i do agree with some of his political views
482,he's a democrat
488,he's black
492,people should realize carter came in without experience and he should have the opportunity too
503,"he sounds like change and that sounds interesting he seems to be energetic, aggressive, and the kind of person that would make a good president - his actions, his demeanor he has given a lot of positive statemetn for the questions that are asked"
507,his color (race)
508, he seems pretty honest and sincere when he talk at first she did not like him because of his name but now she thinks that he is not a terrorist
509,talking about lowering gas prices
511,he's a democrat
515,"he is different, i see something that shines in changing the politics, calmed, not aggressive, very inteligent, he organized the campaign incredibly great. made a mistake in not choosing Hillary as a VP."
517,"more likely I like his view about healthcare, and his commitment to change, ideas about budget reform, and things like that"
521,"overall I think he is the one that we need at this moment to help this country out of the situation that it is right now, giving the economy.  Right here at home."
522,"he is a democrat, a different change in the administration going from the republicans to the democrats."
523,"he is based on what i've heard, given me hope and feeling that we do have a chance to rectify this problem, he has presented to me things that make me more sense than mccain and I am willing to give him a chance and not the same that has been going on on the past 8 years."
526,hes pro chioice for one thing he promised tax cuts for the middle income people im at the bottom and so it will give some one a brake andhealth care i want to see health care for everyonewell see if he can do thats
528,"economics,healthcare,open view for america,healthcare,jobs, the war-all are more positive."
542,i like how he would handle the medical industry
546,hes much younger and verses mccain is not so i would say he is a democrat which i would vote for their i go again for the tax issue it ould help especially the economy if the government gave back the people would say more
557,"all americans for health care, make mom has appropriate health care for her needs. brings the boys home from war, has [REDACTED FAMILY DETAILS] in iraq, on their 3rd tour. wants education for the kids, address the economy."
568, welli guess lean toward de c and many reason why i will notec
576,his tax policies; his plan has been shown increase the diferac less than McCain; i feel he will be better suited to deal with foreign than John McCain;
580,i like what obama is saying hes he what we need what the nation needs
587,he seems to be smart to young inexperienced well educated and could handle the job
588,"he is more out to help the people, i like what he stands for,basically if nayone can pull this country out of this recession he can"
589,i like his viewpoint that he is wholesome down to earth an average america
591,democrat
621,I WAS TOLD THAT HE WILL MAKE GOOD CHANGES.
625,"because he is black,"
630,"I was registered as independent but he is young, has great ideas, he is pro choice, he wants to help economically, he is very fair, when he was running with clinton she compaired him with others and he did not use smears.  I find him mezmerizing, i find that there's hope, clean, innocent in the sense that he wants to do something different. change for the middle class.  He's handsom even.  He is charismatic, a good listener, willing to listen in all debates, has been fair.  he has the suit for candidate.  In the younger generation is not the same old, same old like bush and mccain.  He is also realistic.  Last debate take time to fix this economy, he was honest not lying, said it will take more than 4 years to fix.  Extremely intellectual and cerebral.  He has a zen, last debate mccain trying to pull his chain and he was so focused and so zen... has been with his wife for x amount of years, no record of him being a bad person, drugs, womanizing... etc."
631,"i FEEL HE kind of says what we want to hear, he says all the right things.The change."
634,he's more sense in the economy
652,"trying to changethe econmy, he's more for the people"
658,"democrat, looks like he will lower taxes"
676,Im a union fuy his labor stance i like that he is more in tune with the aberage guy then Mcacain is more affable easier to approachs
682,he has convinced me that the economy will get better and the health insurance too
688,pro choice
691,"Promoting change in our economy,"
694,"What everyone else says, his phy on change, family man, who would represent me as a person,"
697,"It is time for a change because we have been going down-hill, I vote strictly Democrat, always, I always believe that Republicans are for the high incomes, and Deomcrats are for the working folks"
700,"New ideas and change, especially in improving economy and foreign relations, where we should have been many years ago, and he will move the country forward with his new ideas, he has new ideas for energy, how we do things in this country and the change for Afriganstan and our focus needs to be Afgranstan, saying many things I like.  In the past I have voted Republican and he is bringing forth the ideas I think personally that we should be doing."
705,he is a democrat; he is not a replucian; he shares my values than republicians
706,he only wants to talk about the issues; he just addresses the issues; He is really great; He's got the presidential qualities; he is for all the right issues and he comes up with some real plans and they are workable;
711,he talks about the economy wanting and needing to change; his policy on insurance for  working families; it is time for a change;
712,cause he is an african ; I am glad to see an african be able to be in that position
713,level heade thinks before he speaks and that makes for good decisionss
716,one of the things that stood out during the debates; he would specific on what he wanted to do; he had specific plans that led me believe that he was a better candidate
717,education reform
734,he is interested in the middle class
745,"change, the fact that we need some kind of change I like his policies as far as foregine policies and the fact he would change gthe preception of americans as a whole"
767,he is educated from a community thats mix income young childern alticle well spoken
783,fOR HE'S A DEMPRAT & FOR 2 HE'S AN aFRICAN aMERSICAN & WE DON'T WANT 4 MORE YESARS OF THE SAME
787,"Is a great man , belives in the truth & does not show any prejuice toward any crede or colr. X no"
793,HOW HE'S TRYING TO LOOK AT THE LITTLE PEOPLE & NOT JUST THE BIG PEOPLE.//nO
816,hes for the middle guy
829,"I like his ideas and views about poor people and middle class, taking care of the bottom class and not just the top class."
830,He's about a positive direction and both him and his white are more believable.
832,"Health care; money lobbiests are getting is too much and needs to come back to Main St America; spending money for community like for health care, job benefits, keeping jobs in America, rather than overseas; thinks we should give tax breaks to the people instead of to corporate America; giving breaks to lower income Americans will help the economy more; giving rich more money is just not right."
838,"he's a democrat, he'd make a good president and don't like what bush has done with the war."
843,He's out for the lower class people
867,He is labor friendly.
871,HE IS A MAN OF COLOR.
872,PUTTING AN AFRICAN-AMERICAN IN THE WHITE HOUSE WOULD MAKE A STRONG STATEMENT TO THE WORLD THE AMERICA HAS MADE PROGRESS IN ITS RACIAL RELATIONSHIPS AND READY TO DEAL WITH NATIONS OF OTHER COLORS AND ETHNICIITIES. HE IS THE FIRST DEMOCRAT SINCE KENNEDY THAT RAISES THE HOPES OF MANY LAYERS ACROSS THE SOCIAL STRATA. HIS WIFE IS A STRONG ASPECT TO THE FAMILY VALUES THAT IS PRESENTED AND DISCOUNTS THE COLOR ASPECT TO THE POINT THAT THEY ARE JUST LIKE YOU AND ME. HE IS NOT AFRAID TO FACE THE CONTROVERTIAL ISSUES SUCH AS IRAQ AND OTHER INTERNATIONAL CHALLENGES.
876,BECAUSE HE IS A DEMOCRAT
878,"His healthcare plan, and big issue of education and put stop on the war"
883,"He is democrate and he wants a change made, he wants troop out of Iraq, he wants economy more stable than what it is"
887,"I am a person of change and I like what he stand for, on taxes , helping middle class, medicare, I think he will be a great president."
895,He seens like he for more for the honest person.
901,He is afro-american
903,no
921,"becasue I would like to see a black president, and because I like some of his ideas, ie he is trying to improve the economy and the war"
927,"He is a demo and I am too, he is going to make a change he is going to help with economic crisis and healthcare"
930,he more for the blacks than more than other candidates
935,health care
964,"better abreast of foreign policy, always vote democrat"
965,"like his stand on the issues, he will do fine we need a change he will give it"
978,he talks abt the things that i believe in--tax cuts and that he is a negioater he has made a smart decision abt his running mate
980,his view on the war.&the economy
984,"he's a very nuanced thinker, he's sincere in trying to reach people with the message of hope and change, he has a clear idea of what the average person in the country is going thru, he has a stronger feel of what might be necessary to restore a good economy to lower and middle classes, I like his stands on issues, I'm a fiscal conservative, social aggressive thinker"
999,everybody likes him
1003,he's doing something different and he isn't afraid to face society with what he and his family want to do; I hope he wins!
1010,"he was in the beginning an organizer and I volunteer for the [REDACTED ORGANIZATION NAME] project, very similar to the one he worked for in chicago...we actually know him, the [REDACTED ORGANIZATION NAME] project works within the community to address problems and see how we can resolve them...I know that he has a kind heart and he understands because he's been there...he seems to be genuine in health care and providing health care for everybody because he's had an experience that made him take a look at that and see what's wrong, ...another thing is that he is african american, which is a historical type of issue...goes back to MLK said it's time and everything that I know that African americans participate in they enhance it...character and qualifications are all we're looking for"
1022,I think he has good issues and I think he is for the working poeple.
1030,what I'm am thinking about is that he will bring some change that we need and what the late J F kennedy did.
1036,he is beleivable.something about him that he seems he is going to change the world. wanted him to pick hiary for vp or hilary would have won i wanted her to pick him. I wanted them to both be on the ticket. the war needs to stop send our troops home. innocent kids are dying.
1039,what he stands for and his opinion about abortion and gun control.
1055,"He was poor,and he's also had a diversed life style. He seems like he could do as good of a job as his white associates."
1066,It's about time for a black president.
1067,His platform seems alittle more in line with what I'm looking for like healthcare and other things that would savage the middle care.
1068,"He wants to change things, do something about the was, bring somethings like more jobs to the state and he's a Democrate."
1069,Intellegence.
1075,he has a bettre plan the McCain
1114,because he has Joe Biden as his running mate; I don't like politics today; I don't like what's happening in the country; health care for all people; I guess change;
1116,"I like his diverse background. I like that he's not jaded. People criticise his (in)experience, but I like his fresh perspective. I like his age and that he's an attorney.  I like his race -- half black and half white -- which is representative of our country.  I like his choice of Senator Biden.  He's a good extemporaneous speaker.  He knows how many houses he owns.  Good family values."
1130,his is a democrat he is for the people healthcare and middle class and low class families
1133,thats all
1146,His views on healthcare and his views on the war in Iraq
1162,helping the poor
1172,I like his politics better//ZI think he would be better for the count
1192,better candidate than the other one but no particular reason.
1212,he seems to be able to handle the issues overseas and also handle stuff in our own country.
1215,seeing a black man in the White House.
1230,i like him.  He is young.
1234,he has specific agenda for middle americans and he is charismatic.
1239,he wants to help the economy hit idea of helping the troops
1268,i would vote for him to make history for the 1st black person to be president
1280,"his young age, ambitious wants to change things. being liberal"
1295,that he offers a new or fresher view
1300,he is going to reform health care and make a realistic time line to get out of the war
1334,"promised a lot of things, the war"
1344,"want to give him a chance, I think he would do good, I like the man"
1353,healthcare
1361,he's better than  mccain
1363,he seems to be a caring person and handled the campaign well
1368,minority; reminds of jfk - lives of citizens
1391,his views for change
1452,He should get out of politics and stay with his young wife who is not from this planet.
1461,<RF>
1475,he said he will change the country and we could certainly use a change
1480,he's young but does not have experience
1490,"wants to give him a chance because from listening to the news and debates it looks like he does not want to send more troops, he wants to bring them back home."
1498,i believe he will make a change...honestly wants to make a change
1502,that he's black
1531,"I think he's more ""down home"" For example, his mother passed early age and fought insurance companies till she died, and I don't think she should have to do that.  We pretty much didn't have a problem with insurance in the 60's and mid 90s, but today you to fight get anything out of them"
1541,he's a democrat and he's for the low income income people;
1573,his age
1604,"genuineness, vision for better plan for health care/ universal hc accountability, parent responsib"
1624,his policies on our economic and foreign affairs.
1632,because he's black
1645,"he represents change & I think that our country needs a change ,,,we need to change new pol ideas, with fresh people with fresh ideas"
1649,"HIS POPULATRITY, MAKES A LOT OF PROMISES,CHARISMA"
1661,"everything, particularly when I think about the other side-"
1692,He has good ideas. Would vote for him more than Mccain.
1700,He brings a fresh look to government.He did well with Chicago.  Don't move up that fast without doing something right.
1739,intelligent
1766,He has alot of experence with public relations. And he's not a republican
1775,<RF>
1896,i think that he is more sincere both of them it makes me feel disgusted because they are like two kids putting each other down if i didnt have to vote i would not vote for either of them
1903,I like what he stands for
1992,"he's dynamic and he's for the people,"
2025,"Because I really do think if want change, I think that is our best thing in getting change for this country.The economy and the war"
2041,that he is looking towards the future and not like mccain who is always talking about the past.
2048,"His drive and his passion, his energy, his enthusiasm, and his leadership."
2085,the way he allowed himself to talk to people including Chavez.
2121,"bring about change, not really anything else"
2122,hillary clinton is for him and i was for her
2165,give illegal immagrants a chance in u.s. war come to close
2198,"age, fresh ideas, intouch w/ countries issues at this time, knows the house and sennate, a tough market- not alaska"
2264,"he seems very in touch with society, seems to want to end the war quickly"
2287,he's a democrate and I'm a democrate.  I think things need to be changed around
2293,I feel like he's a little more connecdted with the working man/the middle class
2299, how he talks about brining the troops home- pointless that we have been over there so long
2313,taken by him from the start--really smart
4,"his inexperience, and his views on taxes"
6,"I don't like him.  Doesn't like his attitude, towards the country, he doesn't seem to respect the american flag. He doesn't need to be president of this country."
9,His lack of experience.
13,"lack of experience, how he started out in the campaign... then changed his whole campaign to match Clinton's"
20,"lack of experience, liberal tendencies, proponent of socialized healthcare,"
32,no experience and how he got to be senator and how he digs up dirt on his opponants
38,lack of experience
46,he's not as experienced as you would hope a president should be
49,I question his religious affilications
62,his religion and the minister on his church and his lock of expirience
63,inexpirence
101,i don't care for biden
116,My Concern is his past associations.I dont know if he has been very forthcoming about them.
141,lib  higher taxs um  no sxp
156,lack of experience.
174,"everything-completely left,raise taxes,"
191,i don't like his contracdicting staments
305,"going for gay marriages, and not supporting the troops"
315,he is not prolife// medical care// no
341,the policies he seems to support are for bigger government and socializam
345,i have let my sixth sense come thru and i just can't vote for him.
353,"lack of experience, young"
371,his beliefs and controversay about his birth
521,you hear things about who has been associated in the past.  That worries me a little bit but not enough not to vote for him.
572,THE SOCIL VIEWs his ton lis
603,his wife//inexpierceed//no
624,"not sure but what I don't like is his descendence, where he comes from."
627,"everything, no experience, I don't vote democrat, i don't like him"
660,"has no experience, do not like his promises, connected to the terrists, don't trust him"
690,"I think he is a Muslim and he is going to allow terrorists into this country, I don't like his religious beliefs"
736,lack of experence would probably make a good president but he doesn't have experence
740,he is inexpereiced that sums it up
746,in the last couple fo day they been slandering each other and I don't like that
760,I don't like the tax situation I don't like all the negative adds
795,"Lacks experience; he does not support war effort, surge due to lack of experience; disagree with him running."
810,"He is black and I still feel he is Muslim, and I am afraid that it's just the tip of the iceburg of what might come if he is president."
847,He's for abortion; his stand on the war - don't like it; his religion.
852,i dont know about african american for president where he is from bothers me and where he was schooled african american is a plus and minus
918,"I don't think he is being truthful about his religious affiliation,"
943,"it would be religion and what other people have said ,none of this is what she now to be a fact."
957,"he never answers a question, he is muslin"
967,not sure the country is ready for black presidents
1091,"i dont trusy him lack of experience, him refusig to vote english as our language, comment on lip stick on a pig"
1103,he wasn't too kind the veterans when he visited Iraq;
1110,inexperience; he just doesn't have the experience to be the foremost leader in the world; he has no grasp of foreign policy that I can see; I like his enthusiasm; but he's not gonna make it with me
1112,"the other one would be universal health care paid for by the tax payers; health care system is broken; we don't pay to preserve health (preventative), we pay to repair symptoms; the health care companies are all part of that mess"
1114,I distrust him; experience; I feel like there's still a lot of things I don't know about him;
1128,very liberal his ideas about the economy produces more jobs cannot be done with the way he wants
1261,lack of experience and lack of military background
1269,most anything-he doesn't say anything and has no original ideas
1281,"not his ideas on socialism and health care, dont basically trust the guy"
1325,wants to control everything; centralist; just don't believe in it
1429,His religious upbring lack econmic plan lack of diplomatic experience.
1431,worried about some of the more liberal spending
1446,his personality don'T TRUST HIM
1467,he makes me nervous with some of his policies
1475,I believe his heritage might make me want to vote against him. He's probably a liar but aren't all polititians liar's?
1528,Hism past with that pastor ties to being a muslin he seems to have come from nowhere
1581,scared of him raising taxes
1604,needs to talk about poverty level concerns
1861,"certain things that democrats tend to lean towards am opposed,"
1941,I uncertain about the health care policies
1966,"I think he is unexperienced, I don't think he is qualified, I don't think he has done anything during the years he has been in the senate other the campaigning to be president."
2134,he is too young.he does not seem to have allot of experience.there seems to be allot of controversy regarding the people he associated with
2180,no changes- more of the same garbage
2212,his in-experiance- no trust in his leadership abbilities. is past indecisisive ness
2236,dont trust re isreal
2268,"he is younger, he has not been in the military."
2283,"And his position on the Iraq War - I'm not5 so sure pulling out is the right answer, we may need to end on a different note"
2314,he is for abortion and i dont like his running mate
4,"his views more or less on politics, R feels he knows alot about the issues in politics"
8,his views are more conservative than the democrats
32,like him as a man put his time in for our country has alot of experience and comes from a military family
49,I stand on the issues more with McCain.  I relate better to him
56,he is very brave and I like what he did for the country when he was in the service
60,he is a republican there are things that he said that I like and some that I don't he serve in war and so was my husband
61,he is a teran and arizonan
86,just would rather vote for McCain than Obama
116,I like the fact that he has a record of being bi-partisan and not just representing the republican ideaology and i feel he has quite a bit of experience in foreign policy.
126,i have to nearoow my vote a defintive answars if he I like to have it spellout
152,he is more conservative in his economic political moral issures
159,exp. with foreign issues
162,"he's a republican, war hero, any one would be better than g. w. bush"
167,he has been in the senate a lot longer. He is not bush. he is more experienced
182,I like his running mate
192,he projet himself as maverick and goes against politics as usual
202,"his stand on taxes,his somewhat anti-abortion, his political experience,"
206,"PORQUR NO APRUEBA EL ABORTO Y LA UNION DE LOS HOMOSEXUALES,"
245,his strngth experience his views
247,More experience Sarah Palin helps
248,I believe he has someone record of working with people on both sides of aisle.  Has been in the war and knows what this like and more inclined to give more creditiability.
255,"his experience, his platform, his honesty, and his service record for his country,"
265,"a veteran and a proven leader and he has been involved in gov't for eons,"
283,"SERVICE RECORD, PROTECTED HIS FELLOW SOLDIERS, BEFORE HE STARTED CAMPAIGNING HE WAS MORE MODERATE ON ENERGY INDEPENDANCE AND CHANGED ON CONSERVATION  NO"
290,i used to respect his willingness to stick to his values but no longer.
362,"alot, sen in az, good for state and other states, military record"
370,"prolife, war veteran, like his tax plan"
427,"He's a republican/he's more expereinced, more credible, a better person, more qualified/"
437,His abortion issues i agree with/because he's not for abortion/
521,"well knowledgeable about what is going on, and war time, what is going in other countries.  I think he is a nice guy."
547,"support him in 90% of all he represents, and 100% who he piked for vp,"
553,"better qualified, but dont agree w/runnin mate choice"
559,everything but the halth insurance
578,he was a war hero and has been side by side with the president and seem to really know what he is talking about.
581,"i like alot of his ideas,hes a veteren i pull towrds thats"
614,history his intergrity find him more capable under conditons
628,"I like him because he is a person with a lot of experience, and had many positions in his life and I believe he has the necessary experience to be the President."
632,"experience, experience with economics, economic plans, vp choice, straight talker, patriot."
668,his views on abortion pro life and hes committed to stay in the war and fix the mess
670,he is a christian the afact that he has been in a war and so he knows what it is like to be on that end of it from what I heared I like what he stands for
684,"his posotion of right to life, the importance of people earning their way his past a military heo selfr sacrifices that he has made for his country, his choice of a running mate"
689,"He is someone who gets things done, Marchs to Beat of Own Drum, a good communicator, not always partisan, and works things out, someone who can work both sides,"
736,his experence he has been in poolitics for a 100 years he more experience I think he know more about foreign policy
804,Military experience - the way he gave up his freedom to let others come home; adopted children - gave them a home.
817,experience and war
861,the fact he has been a prisoner of war and released he symathises with american
866,I THINK HE IS A GOOD MAN.PAST SOILDER WITH GOOD LEADERSHIP QUALITIES.
888,I know he loves his country because he has made the ultimate sacrifice for his country.
1099,"he seems like he has more experience than obama, he seems like more of a straight shooter, not so egotistical"
1127,he has paid his dues his character he was a prisoner of war
1131,wants to end the war in a manner i approve of
1243,"his character,policies, his  experience"
1246,EXPERIENCE AND HIS CHOICE OF A RUNNING MATE
1265,his committment to the country both past and future
1268,conservative standpoints and his stance on the war
1278,experience and administrative ablility.
1281,"pro life, right to have guns,no socialism,"
1312,more experience; palin is inexperienced and scary
1357,he seems like he has more experience with immigrants.
1392,open stand about human life and abortion. I am a war orphan and relate to Mccains record. Extremely pro life
1422,John was a hero serving his country. Has respect for someone who does this for there country as i did
1433,I think he is more experience and because of time as POW he has character
1512,because of his ideas about inmigration and because of his partner as vicepresident
1522,he's truthful comes across as truthful and i understand what he is saying
1642,"THA HE HAS MILITARY EXPERIENCE, AND HIS VICE PRESIDENT"
1666,since he was in the military he's more prepared
1674,got Sarah Palin as VP
1701,His stand on abortion. Liked his interview about abortion. Believe he has enough experience to be president also he is a war hero.
1770,"I think he's been in it, the white house and more experienced."
1842,"strong belief, his life and he is well prepared"
1863,"experience,andagree with his policies"
1864,"experience,patriotismcompromise"
1866,his conservative views on abortion.
1871,"how would handle war,his character,willingness to work bipartisan,where he stands on abortion"
1960,his morals and views compared to obama lesser of two evils
2008,Because of his stance on marriage between one man and one woman. His stance on abortion.
2025,"I like the involvement that he had with the military.  I totally respect everything he went through when he was a prisoner as opposed to Barack, who does not have any experience.  No, that is the main thing that impresses me lot."
2165,lower price gas and lots of things
2169,he stand on the military issue-deployment
2215,"experience, valuable to our nation"
2217,"his background, agree w most of his things"
2220,"good running mate, ant him to win, he'sw been to war and he knows all abt it and they will do a good job"
2237,hiwss experience and his working agenda.
2242,"served in armed forces, has been working in govt a long time and dont see anything he's done wrong"
2307,he is a veteran think he has pretty decent ideas
17,"he wants to send troops back into Iraq... because he was in the military,"
44,i don't like Palin     he aligns himself with the Christian right
